task_id,task_name,client,project,confidence,notes
868jw8vhg,"[P0] HBOTQ | Website Update","HBOTQ","Website Update",high,"Parent website update"
868kchack,"[P2] Fill out A2P 10DLC form","HBOTQ","Compliance / A2P",high,"A2P 10DLC compliance"
868kchacf,"[P0] Launch HBOTQ website","HBOTQ","Website Update",high,"Website launch"
868kh0y3h,"[P0] HBOTQ | Prep lead review call (Wed 12pm) - define what counts as a client","HBOTQ","Lead Review",high,"Lead review call"
868jw8vrk,"Finish SEO Keyword research","HBOTQ","Website Update",high,"Subtask under HBOTQ website update"
868jw8vvw,"Create SEO based pages based on Keyword Research","HBOTQ","Website Update",high,"Subtask under HBOTQ website update"
868jwy6f1,"1. Update menu and footer with links to individual Conditions.","HBOTQ","Website Update",high,"Subtask under HBOTQ website update"
868jw8vyy,"Add Schema, LLM, Robots, etc to pages","HBOTQ","Website Update",high,"Subtask under HBOTQ website update"
868kh0y3b,"[P0] Mosaic | MDI Platform - review Kyle's GitHub code + spec Dr. Eric's features","Mosaic","MDI Platform",high,"MDI Platform"
868kp735z,"Mosaic | Automatically find discrepancies in Daily Reports and EOD","Mosaic","Reporting / Daily Reports",high,"Daily reports and EOD discrepancies"
868kh0y39,"[P0] Mosaic | Find BPO for Data Entry - email Pete","Mosaic","Operations / Data Entry",high,"Data entry staffing"
868jw91je,"[P4] Mosaic Open MRI (DE) | PI Lead Gen","Mosaic","PI Lead Gen",high,"Parent PI lead-gen project"
868jw91rn,"Get Lead Gen Proposal from Data Grande","Mosaic","PI Lead Gen",high,"Subtask under PI lead-gen project"
868jw91vc,"Speak to Dr. Marty contact regarding PI Cases","Mosaic","PI Lead Gen",high,"Subtask under PI lead-gen project"
868jw91up,"Speak to Bryan Yusopov regarding PI Cases","Mosaic","PI Lead Gen",high,"Subtask under PI lead-gen project"
868kp6qdu,"Mosaic | Stas to post and hire Office Manager","Mosaic","Operations / Hiring",high,"Office manager hiring"
868jw90xh,"[P0] Clear Kayak | Website Build","Clear Kayak","Website Build",high,"Parent website build"
868kchabj,"Build out the site and schedule call","Clear Kayak","Website Build",high,"Subtask under Clear Kayak website build"
868jwbnt1,"[P2] Miller's Marketing Group | Website/App/PWA","Miller's Marketing Group","Website / App / PWA",high,"Task title is specific"
868kcr9cb,"[P2] JumkRemovalUSA.com","Junk Removal USA","Website Build",high,"Domain/site build"
868jxhay5,"Earley Law | Create 3-5 homepage variations","Earley Law","Homepage Variations",high,"Parent homepage variation task"
868jxpzu4,"Gather all research and notes on Kaysia.","Earley Law","Homepage Variations",high,"Subtask under Earley Law homepage variations"
868kh15ub,"MB Chief of Staff - Control Panel","Marketing Bull","Internal Control Panel",high,"Internal MB control panel"
868jya7ah,"[P2] RECURRING TASKS","Marketing Bull","Recurring Tasks",medium,"Container for recurring tasks"
868khtuwp,"Backup all websites","Marketing Bull","Recurring Tasks",medium,"Cross-client recurring task"
868jwxmw0,"[P3] Go through Oleg's Amex and calculate total Marketing Bull LLC to Corp offset.","Marketing Bull","Internal Finance",high,"Internal finance"
868jwxm0r,"Review Kevin Peterson on Clutch","Marketing Bull","Internal Reviews",medium,"Likely internal/vendor review"
